File Name,Card,Code,Holo,Rev Holo,Year,Type,Promo,Country,Amount,Mavin Price,Ebay price,Troll&Toad Price,Subtotal
,Rayquaza EX,XY73,1,0,2016,Dragon,1,EN,1,10,,,10
,Energy,-,0,0,2007,Water,0,EN,10,0.99,,,9.9
,Energy 12/12 Manpy edition,-,0,0,2007,Water,0,EN,11,0.99,,,10.89
,Energy,102/102,0,0,1999,Water,0,EN,8,8,,,64
,Energy,102/102,0,0,1999-2000,Water,0,NL,18,,,,0
,Mewtwo EX,BW45,1,0,2016,Psychic,1,EN,1,7,,,7
,Charizard EX,XY17,1,0,2016,Fire,1,EN,1,10,,,10
,Luvdisc,77/106,0,1,2008,Water,0,EN,2,2.5,,,5
,Pichu,58/165,0,0,2002,Electric,0,EN,1,20,,,20
,Raichu,45/100,0,0,2008,Electric,0,EN,1,5,,,5
,Pikachu,70/100,0,0,2008,Electric,0,EN,2,3.25,,,6.5
,Pichu,93/123,0,0,2007,Electric,0,EN,2,,,,0
,Mightyena,66/146,0,0,2008,Dark,0,EN,1,,,,0
,Sneasel,100/130,0,0,2007,Dark,0,EN,1,1,,,1
,Energy,129/130,0,0,2007,Dark,0,EN,3,,,,0
,Metang,65/146,0,0,2008,Metal,0,EN,1,,,,0
,Wailmer,58/106,0,1,2008,Water,0,EN,1,1,,,1
,Energy,95/100,0,0,2008,Metal,0,EN,1,,,,0
,Bronzor,74/123,0,0,2007,Metal,0,EN,1,,,,0
,Scizor,33,0,0,1995-2001,Metal,0,EN,1,10,,,10
,Mawile,24/106,0,0,2008,Metal,0,EN,1,,,,0
,Ledian,18/101,0,0,2006,Metal,0,EN,1,,,,0
,Magnemite,66/100,0,0,2008,Metal,0,EN,1,,,,0
,Empoleon,17/100,0,1,2008,Water,0,EN,1,2,,,2
,Goldeen,84/130,0,1,2007,Water,0,EN,1,1,,,1
,Magneton,54/130,0,0,2007,Metal,0,EN,1,,,,0
,Energy,130/132,0,0,2007,Metal,0,EN,1,,,,0
,Skarmory,53/106,0,0,2008,Metal,0,EN,1,,,,0
,Togepi,88/106,0,0,2008,Normal,0,EN,1,,,,0
,Seaking,62/130,0,1,2007,Water,0,EN,1,1,,,1
,Starly,7/11,0,0,2007,Normal,0,EN,1,,,,0
,Prinplup,58/130,0,1,2007,Water,0,EN,1,3,,,3
,Linoone,43/106,0,0,2008,Normal,0,EN,1,,,,0
,Rattata,61/102,0,0,1999,Normal,0,EN,2,10,,,20
,Poliwhirl,115/146,0,1,2008,Water,0,EN,1,2,,,2
,Glameow,68/106,0,0,2008,Normal,0,EN,1,,,,0
,Farfetch'd,27/102,0,0,1999-2000,Normal,0,NL,1,,,,0
,Kakuna,50/110,0,1,2002,Grass,0,EN,1,10,,,10
,Clefairy,77/130,0,0,2007,Normal,0,EN,1,,,,0
,Dodrio,34/64,0,0,1999,Normal,0,EN,1,2,,,2
,Charizard,4/102,1,0,1999,Fire,0,EN,1,100,,,100
,Togepi,51/111,0,0,1995-2000,Normal,0,EN,1,20,,,20
,Doduo,48/102,0,0,1999,Normal,0,EN,1,5,,,5
,Snubull,84/106,0,0,2008,Normal,0,EN,1,,,,0
,Chikorita,44/101,1,0,2006,Ground,0,EN,1,3,,,3
,Lickitung,38/64,0,0,1999,Normal,0,EN,1,,,,0
,Meowth,56/64,0,0,1999,Normal,0,EN,1,10,,,10
,Whismur,94/106,0,0,2008,Normal,0,EN,1,,,,0
,Bagon,53/100,0,0,2008,Normal,0,EN,1,,,,0
,Miltank,44/100,0,0,2008,Normal,0,EN,1,,,,0
,Lt. Surge's Spearow,83/132,0,0,1999-2000,Normal,0,EN,1,4,,,4
,Starly,75/100,0,0,2008,Normal,0,EN,1,,,,0
,Porygon,81/106,0,0,2008,Normal,0,EN,1,,,,0
,Swablu,97/127,0,0,2009,Normal,0,EN,1,,,,0
,Zangoose,34/110,0,0,2006,Normal,0,EN,1,,,,0
,Porygon2,49/106,0,0,2008,Normal,0,EN,2,,,,0
,Jigglypuff,54/64,0,0,1999-2000,Normal,0,NL,1,,,,0
,Double Colorless Energy,96/102,0,0,1999,Normal,0,EN,1,,,,0
,Dragonair,52/146,0,0,2008,Normal,0,EN,2,,,,0
,Spinda,17/17,0,0,2008,Normal,0,EN,1,,,,0
,Glameow,83/130,0,0,2007,Normal,0,EN,1,,,,0
,Turtwig,103/130,0,1,2007,Grass,0,EN,1,2,,,2
,Skitty,119/146,0,0,2008,Normal,0,EN,1,,,,0
,Kirlia,51/127,0,1,2009,Psychic,0,EN,1,2.5,,,2.5
,Kecleon,52/132,0,0,2007,Normal,0,EN,1,,,,0
,Energy,163/165,0,0,2002,Electric,0,EN,1,,,,0
,Banette,19/127,0,1,2009,Psychic,0,EN,1,2,,,2
,Energy,-,0,0,2007,Electric,0,EN,1,,,,0
,Lanturn,38/111,0,0,1995-2000,Electric,0,EN,1,,,,0
,Helix Fossil,91/100,0,1,2008,Trainer,0,EN,1,2,,,2
,Weedle,93/106,0,1,2008,Grass,0,EN,1,2,,,2
,Magnemite,53/102,0,0,1999,Electric,0,EN,1,4,,,4
,Starly,75/100,0,1,2008,Normal,0,EN,1,1.5,,,1.5
,Vulpix,102/127,0,1,2009,Fire,0,EN,1,3,,,3
,Magnetron,16/108,0,0,2007,Electric,0,EN,1,,,,0
,Stunky,76/100,0,1,2008,Dark,0,EN,1,,,,0
,Dunsparce,73/127,0,1,2009,Normal,0,EN,1,,,,0
,Murkrow,95/132,0,1,2007,Dark,0,EN,1,3,,,3
,Minun,25/100,0,0,2008,Electric,0,EN,1,,,,0
,Luxio,62/146,0,0,2008,Electric,0,EN,1,,,,0
,Pikachu,70/100,0,0,2008,Electric,0,EN,1,,,,0
,Pichu,20/100,0,0,2003,Electric,0,EN,1,30,,,30
,Electrode,36/100,0,0,2008,Electric,0,EN,1,,,,0
,Energy,-,0,0,2005,Electric,0,EN,1,,,,0
,Poliwrath ,13/102,1,0,1999,Water,0,EN,1,5,,,5
,Mewtwo EX,158/162,1,0,2015,Psychic,0,EN,1,15,,,15
,Energy,-,0,0,2007,Electric,0,EN,1,,,,0
,Energy,126/130,0,0,2007,Electric,0,EN,1,,,,0
,Energy Search,117/130,0,0,2007,Trainer,0,EN,4,,,,0
,Ninetales,12/102,1,0,1999,Fire,0,EN,1,6,,,6
,Mr. Fuji,58/62,0,0,1999,Trainer,0,EN,1,20,,,20
,Raichu,14/102,1,0,1999,Electric,0,EN,1,20,,,20
,Gyarados,6/102,1,0,1999,Water,0,EN,1,13,,,13
,Pokedex,111/130,0,0,2007,Trainer,0,EN,2,,,,0
,Vaporeon,12/64,1,0,1999,Water,0,NL,1,,,,0
,Bill,91/102,0,0,1999,Trainer,0,EN,1,6,,,6
,Articuno,1/100,1,0,2008,Water,0,EN,1,7,,,7
,Potion,11/12,0,0,2007,Trainer,0,EN,1,,,,0
,Blastoise,2/102,1,0,1999,Water,0,EN,1,50,,,50
,Poke Healer +,90/100,0,0,2008,Trainer,0,EN,1,,,,0
,Super Scoop Up,115/130,0,0,2007,Trainer,0,EN,2,,,,0
,Technical Machine TS-1,136/146,0,0,2008,Trainer,0,EN,1,,,,0
,Mudkip,11/17,1,0,2006,Water,0,EN,2,4,,,8
,Empoleon,4/130,1,0,2007,Water,0,EN,1,,,,0
,Dark Jolteon,38/82,0,0,1999-2000,Electric,0,EN,1,5,,,5
,Nidoking,6/101,1,0,2006,Dark,0,EN,1,10,,,10
,Raichu,8/100,1,0,2008,Electric,0,EN,1,5,,,5
,Manaphy,4/12,1,0,2007,Water,0,EN,1,3,,,3
,Aerodactyl,76/124,0,1,2016,Normal,0,EN,1,1.5,,,1.5
,Bidoof,73/123,0,1,2007,Normal,0,EN,1,4,,,4
,Baltoy,53/107,1,0,2005,Ground,0,EN,1,2,,,2
,Beldum,83/146,0,1,2008,Steel,0,EN,1,2,,,2
,Potion,87/100,1,0,2006,Trainer,0,EN,1,10,,,10
,Potion,127/132,0,0,2007,Trainer,0,EN,1,,,,0
,Lucario,61/146,0,0,2008,Ground,0,EN,1,,,,0
,Rival,113/130,0,0,2007,Supporter,0,EN,1,,,,0
,Energy Removal 2,82/115,0,0,2005,Trainer,0,EN,1,,,,0
,Grimer,48/62,0,0,1999,Grass,0,EN,2,,,,0
,Bibarel,32/100,0,0,2008,Water,0,EN,1,,,,0
,Omanyte,70/100,0,0,2003,Water,0,EN,1,,,,0
,Omanyte,69/100,0,0,2008,Water,0,EN,1,,,,0
,Grimer,78/110,0,0,2002,Grass,0,EN,1,,,,0
,Venonat,63/64,0,0,1999,Grass,0,EN,3,,,,0
,Snover,74/100,0,0,2008,Water,0,EN,1,,,,0
,Swinub,123/146,0,0,2008,Water,0,EN,1,,,,0
,Tentacruel,75/146,0,0,2008,Water,0,EN,1,,,,0
,Energy,99/102,0,0,1999,Grass,0,EN,3,2,,,6
,Venonat,97/130,0,0,1999-2000,Grass,0,EN,1,30,,,30
,Great Ball,77/108,0,0,2007,Trainer,0,EN,1,,,,0
,Dusk Ball,9/12,0,0,2007,Trainer,0,EN,1,2,,,2
,Energy,-,0,0,2007,Grass,0,EN,2,,,,0
,Professor Elm's Training Method,79/101,0,0,2006,Trainer,0,EN,1,2,,,2
