id,pokemon,title,soldprice,date,link
0,Rayquaza EX,AVERAGE,$16.33,AVERAGE,https://mavin.io/search?q=Rayquaza EX+2016+XY73&bt=sold&page=1
0,Rayquaza EX,2016 Pokemon XY XY73 Rayquaza EX Black Star Promo Holo PSA 9 Box DP,23.0,---2-years-ago,https://www.mavin.io/item/2016-Pokemon-XY-XY73-Rayquaza-EX-Black-Star-Promo-Holo-PSA-9-Box-DP?itemId=123858483442&q=Rayquaza%20EX%202016%20XY73
0,Rayquaza EX,2016 Pokemon XY XY73 Rayquaza EX Black Star Promo Holo PSA 9 Box DP,13.0,---2-years-ago,https://www.mavin.io/item/2016-Pokemon-XY-XY73-Rayquaza-EX-Black-Star-Promo-Holo-PSA-9-Box-DP?itemId=123856743637&q=Rayquaza%20EX%202016%20XY73
0,Rayquaza EX,2016 Pokemon XY XY73 Rayquaza EX Black Star Promo Holo PSA 9 Box DP,13.0,---2-years-ago,https://www.mavin.io/item/2016-Pokemon-XY-XY73-Rayquaza-EX-Black-Star-Promo-Holo-PSA-9-Box-DP?itemId=113831532215&q=Rayquaza%20EX%202016%20XY73
1,Energy,AVERAGE,$7.83,AVERAGE,https://mavin.io/search?q=Energy+2007+-+Water&bt=sold&page=1
1,Energy,6x Water Energy - 2007 World Championship Card NM Promo Pokemon World,3.06,---a-year-ago,https://www.mavin.io/item/6x-Water-Energy-%3D-2007-World-Championship-Card-NM-Promo-Pokemon-World?itemId=333213608106&q=Energy%202007%20-%20Water
1,Energy,PSA 9 MINT Holo Water Energy 105/108 Pokemon Card 2007 EX Power Keepers,19.99,---a-year-ago,https://www.mavin.io/item/PSA-9-MINT-Holo-Water-Energy-105%2F108-Pokemon-Card-2007-EX-Power-Keepers?itemId=293709820916&q=Energy%202007%20-%20Water
1,Energy,Water Energy HOLO Rare EX Power Keepers Pokemon 105/108 2007,1.5,---a-year-ago,https://www.mavin.io/item/Water-Energy-HOLO-Rare-EX-Power-Keepers-Pokemon-105%2F108-2007?itemId=264758121796&q=Energy%202007%20-%20Water
1,Energy,"POKEMON 2 ENERGY HOLO REVERSE 2006/2007: WATER 105/108, FIRE 106/110",21.55,---a-year-ago,https://www.mavin.io/item/POKEMON-2-ENERGY-HOLO-REVERSE-2006%2F2007%3A-WATER-105%2F108%2C-FIRE-106%2F110?itemId=114234494690&q=Energy%202007%20-%20Water
1,Energy,2007 Pokemon COMPLETE 8 ENERGY- DIAMOND & PEARL Grass Fire Water Psychic++ NM/M,9.45,---a-year-ago,https://www.mavin.io/item/2007-Pokemon-COMPLETE-8-ENERGY%3D-DIAMOND-%26-PEARL-Grass-Fire-Water-Psychic%2B%2B-NM%2FM?itemId=392720897189&q=Energy%202007%20-%20Water
1,Energy,2007 Pokemon EX Power Keepers Holo Water Energy #105 PSA 9 MINT (PWCC),16.0,---a-year-ago,https://www.mavin.io/item/2007-Pokemon-EX-Power-Keepers-Holo-Water-Energy-%23105-PSA-9-MINT-%28PWCC%29?itemId=143584899574&q=Energy%202007%20-%20Water
1,Energy,Water Energy HOLO Rare EX Power Keepers Pokemon 105/108 2007,2.85,---2-years-ago,https://www.mavin.io/item/Water-Energy-HOLO-Rare-EX-Power-Keepers-Pokemon-105%2F108-2007?itemId=324111231208&q=Energy%202007%20-%20Water
1,Energy,Water Energy 105/108 Holo Rare Pokemon EX Power Keepers 2007 Near Mint!,2.75,---2-years-ago,https://www.mavin.io/item/Water-Energy-105%2F108--Holo-Rare-Pokemon-EX-Power-Keepers-2007-Near-Mint%21?itemId=324097440548&q=Energy%202007%20-%20Water
1,Energy,Pokemon Pop Series 8 Water Energy. MISCUT. 2007,8.0,---2-years-ago,https://www.mavin.io/item/Pokemon-Pop-Series-8-Water-Energy.-MISCUT.-2007-?itemId=323832895909&q=Energy%202007%20-%20Water
1,Energy,10x 2007 Pokemon Basic Water Energy,4.0,---2-years-ago,https://www.mavin.io/item/10x-2007-Pokemon-Basic-Water-Energy?itemId=112875062548&q=Energy%202007%20-%20Water
1,Energy,Pokemon Card Rare Holo Energy 105/108 2007 Water EX-Power Keepers,0.99,---3-years-ago,https://www.mavin.io/item/Pokemon-Card-Rare-Holo-Energy-105%2F108-2007-Water-EX%3DPower-Keepers?itemId=153350221340&q=Energy%202007%20-%20Water
1,Energy,2007 Pokemon COMPLETE 8 ENERGY- DIAMOND & PEARL Grass Fire Water Psychic++ NM/M,7.25,---3-years-ago,https://www.mavin.io/item/2007-Pokemon-COMPLETE-8-ENERGY%3D-DIAMOND-%26-PEARL-Grass-Fire-Water-Psychic%2B%2B-NM%2FM?itemId=392076630184&q=Energy%202007%20-%20Water
2,Energy 12/12 Manpy edition,AVERAGE,--,AVERAGE,https://mavin.io/search?q=Energy 12/12 Manpy edition+2007+-+Water&bt=sold&page=1
3,Energy,AVERAGE,$25.92,AVERAGE,https://mavin.io/search?q=Energy+1999+102/102+Water&bt=sold&page=1
3,Energy,1999 Pokemon Base Set Water Energy #102 PSA 9 MINT Card 102/102 NICE SLAB,49.5,---5-days-ago,https://www.mavin.io/item/1999-Pokemon-Base-Set-Water-Energy-%23102-PSA-9-MINT-Card-102%2F102-NICE-SLAB?itemId=174972546628&q=Energy%201999%20102%2F102%20Water
3,Energy,PSA 9 Water Energy 1999 Pokemon Base 1st Edition Shadowless 102/102 New Slab,49.0,---6-days-ago,https://www.mavin.io/item/PSA-9-Water-Energy-1999-Pokemon-Base-1st-Edition-Shadowless-102%2F102-New-Slab?itemId=124937436835&q=Energy%201999%20102%2F102%20Water
3,Energy,CGC 6.5 1999 Pokemon Card Water Energy 102/102 1st Edition Base Set a,20.65,---7-days-ago,https://www.mavin.io/item/CGC-6.5-1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set-a?itemId=154646471166&q=Energy%201999%20102%2F102%20Water
3,Energy,Water Energy 102/102 1999 Pokemon Base Set Unlimited GEM MINT PSA 10,75.99,---11-days-ago,https://www.mavin.io/item/Water-Energy-102%2F102-1999-Pokemon-Base-Set-Unlimited-GEM-MINT-PSA-10?itemId=265339801952&q=Energy%201999%20102%2F102%20Water
3,Energy,Pokemon Water Energy #102/102 1st Edition Base Set PSA 10 1999 Shadowless,204.99,---12-days-ago,https://www.mavin.io/item/Pokemon-Water-Energy-%23102%2F102-1st-Edition-Base-Set-PSA-10-1999-Shadowless?itemId=224631510903&q=Energy%201999%20102%2F102%20Water
3,Energy,CGC 6.5 1999 Pokemon Card Water Energy 102/102 1st Edition Base Set a,21.15,---12-days-ago,https://www.mavin.io/item/CGC-6.5-1999-Pokemon-Card-Water-Energy-102%2F102-1st-Edition-Base-Set-a?itemId=154637791199&q=Energy%201999%20102%2F102%20Water
